Date,Price,P/FCF,P/EBITDA,P/E,EV/EBITDA,P/S,P/B,EV/B,EV/FCF,LTDebt/EV
9/30/10,10.83,52.9123,20.7835,58.2258,32.5658,0.9536,8.2991,7.2504,63.9543,0
10/1/10,10.91,53.3032,20.937,58.6559,32.8411,0.9606,8.3604,7.3117,64.4951,0
10/4/10,10.74,52.4726,20.6108,57.7419,32.256,0.9457,8.2301,7.1814,63.346,0
10/5/10,11.19,54.6712,21.4743,60.1613,33.8049,0.9853,8.5749,7.5263,66.3877,0
10/6/10,11.07,54.0849,21.244,59.5161,33.3918,0.9747,8.483,7.4343,65.5766,0
10/7/10,11,53.7429,21.1097,59.1398,33.1509,0.9686,8.4293,7.3807,65.1034,0
10/8/10,10.88,53.1566,20.8794,58.4946,32.7379,0.958,8.3374,7.2887,64.2923,0
10/11/10,10.83,52.9123,20.7835,58.2258,32.5658,0.9536,8.2991,7.2504,63.9543,0
10/12/10,10.79,52.7169,20.7067,58.0108,32.4281,0.9501,8.2684,7.2197,63.6839,0
10/13/10,10.79,52.7169,20.7067,58.0108,32.4281,0.9501,8.2684,7.2197,63.6839,0
10/14/10,10.6,51.7886,20.3421,56.9892,31.7741,0.9333,8.1228,7.0741,62.3997,0
10/15/10,10.52,51.3978,20.1886,56.5591,31.4988,0.9263,8.0615,7.0128,61.8589,0
10/18/10,10.62,51.8863,20.3805,57.0968,31.843,0.9351,8.1381,7.0895,62.5349,0
10/19/10,10.61,51.8375,20.3613,57.043,31.8086,0.9342,8.1305,7.0818,62.4673,0
10/20/10,10.96,53.5475,21.0329,58.9247,33.0132,0.965,8.3987,7.35,64.833,0
10/21/10,10.87,53.1078,20.8602,58.4409,32.7034,0.9571,8.3297,7.281,64.2247,0
10/22/10,11.13,54.3781,21.3592,59.8387,33.5983,0.98,8.529,7.4803,65.9821,0
10/25/10,11.46,55.9903,21.9925,61.6129,34.7342,1.0091,8.7818,7.7332,68.2127,0
10/26/10,11.49,56.1369,22.0501,61.7742,34.8374,1.0117,8.8048,7.7561,68.4155,0
10/27/10,11.17,54.5735,21.436,60.0538,33.736,0.9835,8.5596,7.5109,66.2525,0
10/28/10,10.89,53.2055,20.8986,58.5484,32.7723,0.9589,8.345,7.2964,64.3599,0
10/29/10,10.78,52.6681,20.6875,57.957,32.3937,0.9492,8.2608,7.2121,63.6164,0
11/1/10,10.6,51.7886,20.3421,56.9892,31.7741,0.9333,8.1228,7.0741,62.3997,0
11/2/10,10.52,51.3978,20.1886,56.5591,31.4988,0.9263,8.0615,7.0128,61.8589,0
11/3/10,10.3,50.3229,19.7664,55.3763,30.7416,0.9069,7.8929,6.8443,60.3719,0
11/4/10,9.99,48.8083,19.1715,53.7097,29.6746,0.8796,7.6554,6.6067,58.2765,0
11/5/10,9.98,48.7595,19.1523,53.6559,29.6402,0.8787,7.6477,6.599,58.2089,0
11/8/10,9.77,47.7335,18.7493,52.5269,28.9174,0.8603,7.4868,6.4381,56.7894,0
11/9/10,9.63,47.0495,18.4806,51.7742,28.4355,0.8479,7.3795,6.3308,55.8431,0
11/10/10,9.75,47.6358,18.7109,52.4194,28.8485,0.8585,7.4715,6.4228,56.6542,0
11/11/10,9,43.9715,17.2716,48.3871,26.2671,0.7925,6.8967,5.8481,51.5847,0
11/12/10,9.63,47.0495,18.4806,51.7742,28.4355,0.8479,7.3795,6.3308,55.8431,0
11/15/10,9.89,48.3198,18.9795,53.172,29.3307,0.8708,7.5787,6.5301,57.6012,0
11/16/10,9.71,47.4403,18.6341,52.2043,28.7112,0.855,7.4408,6.3922,56.3845,0
11/17/10,9.84,48.0755,18.8836,52.9032,29.1586,0.8664,7.5404,6.4918,57.2632,0
11/18/10,10.46,51.1046,20.0734,56.2366,31.2926,0.921,8.0155,6.9669,61.4541,0
11/19/10,12.44,60.7784,23.8732,66.8817,38.1076,1.0954,9.5328,8.4842,74.8377,0
11/22/10,14.3,69.8658,27.4426,76.8817,44.5096,1.2591,10.9581,9.9095,87.4103,0
11/23/10,13.5,65.9572,25.9074,72.5806,41.7561,1.1887,10.3451,9.2965,82.0027,0
11/24/10,13.46,65.7618,25.8306,72.3656,41.6184,1.1852,10.3144,9.2659,81.7323,0
11/26/10,13.3,64.9801,25.5236,71.5054,41.0677,1.1711,10.1918,9.1432,80.6508,0
11/29/10,13.64,66.6412,26.176,73.3333,42.2379,1.201,10.4524,9.4038,82.949,0
11/30/10,13.69,66.8855,26.272,73.6022,42.41,1.2054,10.4907,9.4421,83.287,0
12/1/10,14.23,69.5238,27.3083,76.5054,44.2687,1.253,10.9045,9.8559,86.9371,0
12/2/10,14.38,70.2567,27.5961,77.3118,44.785,1.2662,11.0194,9.9709,87.951,0
12/3/10,14.32,69.9635,27.481,76.9892,44.5785,1.2609,10.9735,9.9249,87.5454,0
12/6/10,14.17,69.2306,27.1931,76.1828,44.0622,1.2477,10.8585,9.8099,86.5315,0
12/7/10,14,68.4001,26.8669,75.2688,43.477,1.2327,10.7283,9.6797,85.3824,0
12/8/10,13.99,68.3512,26.8477,75.2151,43.4426,1.2318,10.7206,9.672,85.3148,0
12/9/10,13.96,68.2046,26.7901,75.0538,43.3394,1.2292,10.6976,9.649,85.112,0
12/10/10,14.32,69.9635,27.481,76.9892,44.5785,1.2609,10.9735,9.9249,87.5454,0
12/13/10,14.22,69.4749,27.2891,76.4516,44.2343,1.2521,10.8968,9.8482,86.8695,0
12/14/10,13.99,68.3512,26.8477,75.2151,43.4426,1.2318,10.7206,9.672,85.3148,0
12/15/10,13.98,68.3024,26.8285,75.1613,43.4082,1.231,10.7129,9.6643,85.2472,0
12/16/10,14.06,68.6932,26.982,75.5914,43.6836,1.238,10.7742,9.7256,85.788,0
12/17/10,14.13,69.0352,27.1164,75.9677,43.9245,1.2442,10.8279,9.7793,86.2612,0
12/20/10,14.41,70.4032,27.6537,77.4731,44.8882,1.2688,11.0424,9.9938,88.1538,0
12/21/10,14.65,71.5758,28.1143,78.7634,45.7143,1.2899,11.2264,10.1778,89.7761,0
12/22/10,15.02,73.3835,28.8243,80.7527,46.9878,1.3225,11.5099,10.4613,92.277,0
12/23/10,15.05,73.5301,28.8819,80.914,47.0911,1.3252,11.5329,10.4843,92.4798,0
12/27/10,15.3,74.7515,29.3617,82.2581,47.9515,1.3472,11.7244,10.6758,94.1697,0
12/28/10,15.47,75.5821,29.6879,83.172,48.5367,1.3621,11.8547,10.8061,95.3188,0
12/29/10,15.92,77.7807,30.5515,85.5914,50.0855,1.4018,12.1996,11.151,98.3605,0
12/30/10,16.08,78.5624,30.8586,86.4516,50.6362,1.4159,12.3222,11.2736,99.442,0
12/31/10,16.25,155.0031,40.975,125,46.5023,1.7168,10.797,9.2784,59.312,0
1/3/11,16.37,156.1478,41.2776,125.9231,46.8861,1.7295,10.8767,9.3549,59.8015,0
1/4/11,16.41,156.5293,41.3784,126.2308,47.014,1.7337,10.9033,9.3805,59.9647,0
1/5/11,16.5,157.3878,41.6054,126.9231,47.3018,1.7432,10.9631,9.4379,60.3317,0
1/6/11,16.67,159.0094,42.034,128.2308,47.8455,1.7612,11.076,9.5464,61.0251,0
1/7/11,17.03,162.4433,42.9418,131,48.9967,1.7992,11.3152,9.7761,62.4935,0
1/10/11,17.14,163.4925,43.2191,131.8462,49.3485,1.8108,11.3883,9.8462,62.9422,0
1/11/11,17.28,164.8279,43.5722,132.9231,49.7962,1.8256,11.4813,9.9356,63.5132,0
1/12/11,17.23,164.351,43.4461,132.5385,49.6363,1.8204,11.4481,9.9037,63.3093,0
1/13/11,17.3,165.0187,43.6226,133.0769,49.8601,1.8278,11.4946,9.9483,63.5948,0
1/14/11,17.35,165.4956,43.7487,133.4615,50.02,1.833,11.5278,9.9802,63.7987,0
1/18/11,17.44,166.3541,43.9756,134.1538,50.3078,1.8425,11.5876,10.0377,64.1658,0
1/19/11,17.43,166.2587,43.9504,134.0769,50.2759,1.8415,11.581,10.0313,64.125,0
1/20/11,18,171.6958,45.3877,138.4615,52.0986,1.9017,11.9597,10.395,66.4499,0
1/21/11,18.29,174.462,46.1189,140.6923,53.026,1.9323,12.1524,10.58,67.6328,0
1/24/11,18.47,176.1789,46.5728,142.0769,53.6017,1.9514,12.272,10.6949,68.367,0
1/25/11,18.44,175.8928,46.4971,141.8462,53.5057,1.9482,12.2521,10.6757,68.2446,0
1/26/11,18.78,179.1359,47.3545,144.4615,54.593,1.9841,12.478,10.8927,69.6314,0
1/27/11,18.35,175.0343,46.2702,141.1538,53.2179,1.9387,12.1923,10.6183,67.8775,0
1/28/11,18.15,173.1266,45.7659,139.6154,52.5783,1.9176,12.0594,10.4907,67.0617,0
1/31/11,18.14,173.0312,45.7407,139.5385,52.5464,1.9165,12.0527,10.4843,67.021,0
2/1/11,18.56,177.0374,46.7997,142.7692,53.8895,1.9609,12.3318,10.7523,68.734,0
2/2/11,18.44,175.8928,46.4971,141.8462,53.5057,1.9482,12.2521,10.6757,68.2446,0
2/3/11,18.54,176.8466,46.7493,142.6154,53.8255,1.9588,12.3185,10.7395,68.6525,0
2/4/11,18.29,174.462,46.1189,140.6923,53.026,1.9323,12.1524,10.58,67.6328,0
2/7/11,18.63,177.7051,46.9762,143.3077,54.1133,1.9683,12.3783,10.797,69.0196,0
2/8/11,18.75,178.8498,47.2788,144.2308,54.4971,1.9809,12.458,10.8735,69.509,0
2/9/11,18.69,178.2774,47.1275,143.7692,54.3052,1.9746,12.4182,10.8352,69.2643,0
2/10/11,19.24,183.5237,48.5144,148,56.064,2.0327,12.7836,11.1862,71.5076,0
2/11/11,19.27,183.8099,48.59,148.2308,56.16,2.0359,12.8035,11.2053,71.63,0
2/14/11,19.92,190.01,50.229,153.2308,58.2386,2.1046,13.2354,11.6201,74.2812,0
2/15/11,19.99,190.6777,50.4055,153.7692,58.4624,2.112,13.2819,11.6647,74.5667,0
2/16/11,20.3,193.6347,51.1872,156.1538,59.4538,2.1447,13.4879,11.8625,75.8311,0
2/17/11,20.89,199.2625,52.6749,160.6923,61.3405,2.207,13.8799,12.239,78.2376,0
2/18/11,21.44,204.5087,54.0617,164.9231,63.0994,2.2651,14.2453,12.5899,80.481,0
2/22/11,21.11,201.361,53.2296,162.3846,62.0441,2.2303,14.0261,12.3793,79.135,0
2/23/11,20.84,198.7855,52.5488,160.3077,61.1806,2.2018,13.8467,12.2071,78.0337,0
2/24/11,20.87,199.0717,52.6245,160.5385,61.2766,2.2049,13.8666,12.2262,78.156,0
2/25/11,20.5,195.5424,51.6915,157.6923,60.0934,2.1658,13.6208,11.9901,76.6469,0
2/28/11,20.33,193.9208,51.2628,156.3846,59.5497,2.1479,13.5078,11.8817,75.9535,0
3/1/11,20.75,197.9271,52.3219,159.6154,60.8928,2.1922,13.7869,12.1496,77.6666,0
3/2/11,20,190.7731,50.4307,153.8462,58.4944,2.113,13.2886,11.6711,74.6075,0
3/3/11,21.48,204.8903,54.1626,165.2308,63.2273,2.2694,14.2719,12.6154,80.6441,0
3/4/11,22.49,214.5243,56.7094,173,66.4572,2.3761,14.943,13.2599,84.7637,0
3/7/11,23.47,223.8722,59.1805,180.5385,69.5911,2.4796,15.5941,13.8852,88.7609,0
3/8/11,24.96,238.0848,62.9376,192,74.3559,2.637,16.5841,14.8359,94.8383,0
3/9/11,24.6,234.6509,62.0298,189.2308,73.2047,2.599,16.3449,14.6062,93.3699,0
3/10/11,24.02,229.1185,60.5673,184.7692,71.3499,2.5377,15.9596,14.2361,91.0042,0
3/11/11,23.64,225.4938,59.6091,181.8462,70.1347,2.4976,15.7071,13.9936,89.4543,0
3/14/11,23.94,228.3554,60.3656,184.1538,71.0941,2.5293,15.9064,14.185,90.6779,0
3/15/11,23.65,225.5892,59.6343,181.9231,70.1667,2.4986,15.7137,14,89.4951,0
3/16/11,24.25,231.3124,61.1473,186.5385,72.0854,2.562,16.1124,14.3828,91.9423,0
3/17/11,25.25,240.851,63.6688,194.2308,75.2833,2.6677,16.7768,15.0209,96.0211,0
3/18/11,25.4,242.2818,64.047,195.3846,75.763,2.6835,16.8765,15.1166,96.633,0
3/21/11,24.9,237.5125,62.7863,191.5385,77.7173,2.6307,16.5443,15.5065,99.1255,0
3/22/11,25.24,240.7556,63.6436,194.1538,78.8531,2.6666,16.7702,15.7332,100.5742,0
3/23/11,25.01,238.5617,63.0636,192.3846,78.0847,2.6423,16.6173,15.5799,99.5942,0
3/24/11,24.25,231.3124,61.1473,186.5385,75.5459,2.562,16.1124,15.0733,96.356,0
