date,_TYPE_,_FREQ_,total_volume
10/12/2006,1,117,187418
10/13/2006,1,120,166105
10/16/2006,1,114,85972
10/17/2006,1,122,228798
10/18/2006,1,119,194725
10/19/2006,1,102,109625
10/20/2006,1,101,117990
10/23/2006,1,126,149074
10/24/2006,1,102,98894
10/25/2006,1,115,122529
10/26/2006,1,119,137512
10/27/2006,1,118,145605
10/30/2006,1,105,119275
10/31/2006,1,99,122458
11/01/2006,1,115,158406
11/02/2006,1,98,176611
11/03/2006,1,105,81437
11/06/2006,1,135,120912
11/07/2006,1,124,116493
11/08/2006,1,117,112428
11/09/2006,1,92,138317
11/10/2006,1,92,91431
11/13/2006,1,100,98358
11/14/2006,1,127,154393
11/15/2006,1,132,127701
11/16/2006,1,114,163907
11/17/2006,1,111,155196
11/20/2006,1,119,154355
11/21/2006,1,120,124545
11/22/2006,1,105,46531
11/24/2006,1,98,80575
11/27/2006,1,142,215804
11/28/2006,1,123,100287
11/29/2006,1,118,111742
11/30/2006,1,114,97696
12/01/2006,1,124,199464
12/04/2006,1,123,120852
12/05/2006,1,121,96521
12/06/2006,1,114,96411
12/07/2006,1,129,89698
12/08/2006,1,98,92075
12/11/2006,1,98,59452
12/12/2006,1,107,86582
12/13/2006,1,95,123621
12/14/2006,1,142,246915
12/15/2006,1,120,147216
12/18/2006,1,101,74061
12/19/2006,1,123,114388
12/20/2006,1,100,74887
12/21/2006,1,117,97780
12/22/2006,1,118,72358
12/26/2006,1,97,43097
12/27/2006,1,96,71964
12/28/2006,1,91,50188
12/29/2006,1,102,131944
01/03/2007,1,142,107013
01/04/2007,1,126,216355
01/05/2007,1,132,120907
01/08/2007,1,119,89541
01/09/2007,1,92,114398
01/10/2007,1,110,147074
01/11/2007,1,116,151634
01/12/2007,1,114,146740
01/16/2007,1,95,153406
01/17/2007,1,116,129471
01/18/2007,1,94,119688
01/19/2007,1,101,219815
01/22/2007,1,103,94336
01/23/2007,1,106,87170
01/24/2007,1,122,100952
01/25/2007,1,146,236399
01/26/2007,1,123,207982
01/29/2007,1,90,102579
01/30/2007,1,103,75286
01/31/2007,1,124,123190
02/01/2007,1,102,87920
02/02/2007,1,90,97628
02/05/2007,1,90,49800
02/06/2007,1,89,94558
02/07/2007,1,105,106527
02/08/2007,1,97,87630
02/09/2007,1,120,152505
02/12/2007,1,100,218143
02/13/2007,1,124,132349
02/14/2007,1,134,219191
02/15/2007,1,122,117377
02/16/2007,1,97,79313
02/20/2007,1,121,137427
02/21/2007,1,103,86915
02/22/2007,1,126,118949
02/23/2007,1,130,117463
02/26/2007,1,116,135885
02/27/2007,1,250,831112
02/28/2007,1,223,456370
03/01/2007,1,215,435745
03/02/2007,1,203,270492
03/05/2007,1,211,368350
03/06/2007,1,182,243464
03/07/2007,1,175,370291
03/08/2007,1,147,240654
03/09/2007,1,149,212603
03/12/2007,1,126,123413
03/13/2007,1,200,494179
03/14/2007,1,224,593527
03/15/2007,1,160,224244
03/16/2007,1,155,284871
03/19/2007,1,172,200899
03/20/2007,1,174,183009
03/21/2007,1,152,337090
03/22/2007,1,139,173674
03/23/2007,1,113,138363
03/26/2007,1,129,130407
03/27/2007,1,104,110866
03/28/2007,1,157,232085
03/29/2007,1,136,164349
03/30/2007,1,168,306505
04/02/2007,1,120,139392
04/03/2007,1,135,173946
04/04/2007,1,118,167603
04/05/2007,1,126,130566
04/09/2007,1,124,131319
04/10/2007,1,119,192337
04/11/2007,1,133,276984
04/12/2007,1,119,175374
04/13/2007,1,126,214020
04/16/2007,1,146,438284
04/17/2007,1,126,256501
04/18/2007,1,143,197672
04/19/2007,1,131,220386
04/20/2007,1,174,454861
04/23/2007,1,141,230785
04/24/2007,1,110,166022
04/25/2007,1,162,218856
04/26/2007,1,135,204048
04/27/2007,1,149,162361
04/30/2007,1,158,212470
05/01/2007,1,160,302626
05/02/2007,1,147,256977
05/03/2007,1,147,194551
05/04/2007,1,166,211536
05/07/2007,1,143,198225
05/08/2007,1,152,161799
05/09/2007,1,146,140016
05/10/2007,1,154,280682
05/11/2007,1,196,162034
05/14/2007,1,135,166824
05/15/2007,1,159,207579
05/16/2007,1,125,171919
05/17/2007,1,135,177265
05/18/2007,1,164,224965
05/21/2007,1,169,324461
05/22/2007,1,150,223653
05/23/2007,1,169,208660
05/24/2007,1,186,274350
05/25/2007,1,126,179058
05/29/2007,1,129,112952
05/30/2007,1,134,147262
05/31/2007,1,149,210083
06/01/2007,1,144,174744
06/04/2007,1,131,219249
06/05/2007,1,143,212215
06/06/2007,1,173,398680
06/07/2007,1,220,909041
06/08/2007,1,208,407688
06/11/2007,1,154,239674
06/12/2007,1,220,377629
06/13/2007,1,171,284775
06/14/2007,1,165,246668
06/15/2007,1,183,282253
06/18/2007,1,176,188782
06/19/2007,1,134,95420
06/20/2007,1,177,276406
06/21/2007,1,163,262549
06/22/2007,1,195,380400
06/25/2007,1,174,240523
06/26/2007,1,217,287885
06/27/2007,1,250,448906
06/28/2007,1,214,238791
06/29/2007,1,180,322503
07/02/2007,1,162,189438
07/03/2007,1,117,186823
07/05/2007,1,139,251318
07/06/2007,1,161,294023
07/09/2007,1,170,156940
07/10/2007,1,205,394655
07/11/2007,1,205,327058
07/12/2007,1,183,360529
07/13/2007,1,157,318716
07/16/2007,1,166,293728
07/17/2007,1,144,243644
07/18/2007,1,188,349001
07/19/2007,1,177,346451
07/20/2007,1,233,623034
07/23/2007,1,169,199581
07/24/2007,1,218,484025
07/25/2007,1,249,443696
07/26/2007,1,268,765932
07/27/2007,1,292,686404
07/30/2007,1,281,562684
07/31/2007,1,271,569233
08/01/2007,1,372,792139
08/02/2007,1,236,440172
08/03/2007,1,340,571919
08/06/2007,1,352,517636
08/07/2007,1,276,486940
08/08/2007,1,252,501218
08/09/2007,1,316,641384
08/10/2007,1,295,900129
08/13/2007,1,244,494911
08/14/2007,1,244,608791
08/15/2007,1,304,730875
08/16/2007,1,372,1217925
08/17/2007,1,311,1097576
08/20/2007,1,255,312271
08/21/2007,1,239,266153
08/22/2007,1,278,347439
08/23/2007,1,226,443906
08/24/2007,1,192,384308
08/27/2007,1,249,290321
08/28/2007,1,236,431871
08/29/2007,1,248,306379
08/30/2007,1,194,260596
08/31/2007,1,226,243424
09/04/2007,1,244,213702
09/05/2007,1,223,329887
09/06/2007,1,175,141152
09/07/2007,1,250,402101
09/10/2007,1,290,355171
09/11/2007,1,211,273172
09/12/2007,1,192,233896
09/13/2007,1,221,361073
09/14/2007,1,202,222171
09/17/2007,1,205,478172
09/18/2007,1,320,529027
09/19/2007,1,316,456265
09/20/2007,1,231,422273
09/21/2007,1,195,374025
09/24/2007,1,227,161470
09/25/2007,1,154,212665
09/26/2007,1,188,117565
09/27/2007,1,160,141602
09/28/2007,1,188,308224
10/01/2007,1,233,302668
10/02/2007,1,193,252590
10/03/2007,1,225,279033
10/04/2007,1,169,200344
10/05/2007,1,265,466686
10/08/2007,1,189,174853
10/09/2007,1,204,255058
10/10/2007,1,198,223698
10/11/2007,1,238,452736
10/12/2007,1,168,248264
10/15/2007,1,219,363697
10/16/2007,1,237,396256
10/17/2007,1,252,501148
10/18/2007,1,188,340327
10/19/2007,1,239,905053
10/22/2007,1,345,548874
10/23/2007,1,291,327968
10/24/2007,1,346,639822
10/25/2007,1,225,454816
10/26/2007,1,202,322578
10/29/2007,1,197,240861
10/30/2007,1,209,372186
10/31/2007,1,268,559140
11/01/2007,1,307,756729
11/02/2007,1,308,583943
11/05/2007,1,319,486163
11/06/2007,1,256,480586
11/07/2007,1,323,731365
11/08/2007,1,395,1199864
11/09/2007,1,332,725319
11/12/2007,1,334,614607
11/13/2007,1,298,743339
11/14/2007,1,269,560239
11/15/2007,1,309,894349
11/16/2007,1,290,767072
11/19/2007,1,340,454700
11/20/2007,1,397,577604
11/21/2007,1,354,458794
11/23/2007,1,217,192513
11/26/2007,1,354,328308
11/27/2007,1,387,532946
11/28/2007,1,373,614469
11/29/2007,1,245,354338
11/30/2007,1,289,518677
12/03/2007,1,202,286136
12/04/2007,1,222,159223
12/05/2007,1,265,401217
12/06/2007,1,270,405822
12/07/2007,1,264,261560
12/10/2007,1,247,332638
12/11/2007,1,347,884496
12/12/2007,1,348,653943
12/13/2007,1,379,452447
12/14/2007,1,278,387113
12/17/2007,1,297,565977
12/18/2007,1,352,678798
12/19/2007,1,282,569329
12/20/2007,1,231,561278
12/21/2007,1,272,514199
12/24/2007,1,226,182056
12/26/2007,1,190,151379
12/27/2007,1,209,230844
12/28/2007,1,258,319873
12/31/2007,1,225,306120
01/02/2008,1,314,443463
01/03/2008,1,263,507358
01/04/2008,1,320,904864
01/07/2008,1,297,451504
01/08/2008,1,289,693524
01/09/2008,1,378,928952
01/10/2008,1,347,823767
01/11/2008,1,247,646652
01/14/2008,1,214,451357
01/15/2008,1,295,849598
01/16/2008,1,341,1194142
01/17/2008,1,443,1771648
01/18/2008,1,410,1447399
01/22/2008,1,517,1266933
01/23/2008,1,526,752317
01/24/2008,1,337,563141
01/25/2008,1,333,603082
01/28/2008,1,274,342293
01/29/2008,1,234,330475
01/30/2008,1,342,515066
01/31/2008,1,343,785631
02/01/2008,1,302,401227
02/04/2008,1,198,377838
02/05/2008,1,315,668098
02/06/2008,1,283,538799
02/07/2008,1,348,565165
02/08/2008,1,238,440196
02/11/2008,1,236,373567
02/12/2008,1,249,604706
02/13/2008,1,237,284059
02/14/2008,1,237,415162
02/15/2008,1,231,438653
02/19/2008,1,283,128245
02/20/2008,1,359,491801
02/21/2008,1,308,388362
02/22/2008,1,342,542427
02/25/2008,1,303,548131
02/26/2008,1,282,569864
02/27/2008,1,280,459272
02/28/2008,1,266,428259
02/29/2008,1,379,551653
03/03/2008,1,300,427291
03/04/2008,1,381,519652
03/05/2008,1,287,620112
03/06/2008,1,341,559200
03/07/2008,1,403,888253
03/10/2008,1,403,694281
03/11/2008,1,372,784605
03/12/2008,1,315,561829
03/13/2008,1,390,1003505
03/14/2008,1,560,1629315
03/17/2008,1,430,1119412
03/18/2008,1,435,888516
03/19/2008,1,379,1258218
03/20/2008,1,390,958108
03/24/2008,1,334,602904
03/25/2008,1,308,371169
03/26/2008,1,356,433165
03/27/2008,1,286,385631
03/28/2008,1,283,313399
03/31/2008,1,235,388597
04/01/2008,1,279,663785
04/02/2008,1,272,475165
04/03/2008,1,251,419763
04/04/2008,1,303,477108
04/07/2008,1,425,561765
04/08/2008,1,243,360590
04/09/2008,1,259,413000
04/10/2008,1,307,560418
04/11/2008,1,291,730244
04/14/2008,1,246,448168
04/15/2008,1,242,376300
04/16/2008,1,287,585194
04/17/2008,1,290,570208
04/18/2008,1,336,873938
04/21/2008,1,254,277615
04/22/2008,1,257,480369
04/23/2008,1,233,276437
04/24/2008,1,292,446867
04/25/2008,1,282,340081
04/28/2008,1,231,370558
04/29/2008,1,258,255769
04/30/2008,1,304,426462
05/01/2008,1,287,501482
05/02/2008,1,273,544005
05/05/2008,1,245,453267
05/06/2008,1,245,553237
05/07/2008,1,296,459846
05/08/2008,1,220,493277
05/09/2008,1,223,465549
05/12/2008,1,217,386124
05/13/2008,1,186,343971
05/14/2008,1,257,458615
05/15/2008,1,259,561202
05/16/2008,1,267,638828
05/19/2008,1,277,505222
05/20/2008,1,267,476987
05/21/2008,1,278,488951
05/22/2008,1,259,289995
05/23/2008,1,288,452410
05/27/2008,1,258,407050
05/28/2008,1,230,327804
05/29/2008,1,249,339238
05/30/2008,1,224,237240
06/02/2008,1,298,410659
06/03/2008,1,299,597544
06/04/2008,1,289,472262
06/05/2008,1,278,694802
06/06/2008,1,413,1239693
06/09/2008,1,265,584219
06/10/2008,1,260,598985
06/11/2008,1,340,920662
06/12/2008,1,282,689292
06/13/2008,1,253,604940
06/16/2008,1,271,361950
06/17/2008,1,213,532430
06/18/2008,1,319,676350
06/19/2008,1,282,816319
06/20/2008,1,337,1327640
06/23/2008,1,323,418277
06/24/2008,1,276,688199
06/25/2008,1,303,524101
06/26/2008,1,315,1107820
06/27/2008,1,297,743629
06/30/2008,1,276,1422953
07/01/2008,1,325,1117665
07/02/2008,1,369,730401
07/03/2008,1,264,650772
07/07/2008,1,316,942993
