date,_TYPE_,_FREQ_,total_volume
06/14/2007,1,261,1731135
06/15/2007,1,234,142850
06/18/2007,1,239,136268
06/19/2007,1,189,88827
06/20/2007,1,195,144827
06/21/2007,1,164,140791
06/22/2007,1,248,128465
06/25/2007,1,194,114466
06/26/2007,1,167,115966
06/27/2007,1,184,230311
06/28/2007,1,243,152138
06/29/2007,1,186,114825
07/02/2007,1,150,99724
07/03/2007,1,144,59687
07/05/2007,1,133,109868
07/06/2007,1,138,109125
07/09/2007,1,191,98706
07/10/2007,1,193,128540
07/11/2007,1,230,153515
07/12/2007,1,195,211535
07/13/2007,1,193,133309
07/16/2007,1,148,143959
07/17/2007,1,133,80689
07/18/2007,1,183,225116
07/19/2007,1,169,165095
07/20/2007,1,267,520038
07/23/2007,1,221,113416
07/24/2007,1,188,202956
07/25/2007,1,228,255299
07/26/2007,1,278,275236
07/27/2007,1,320,275819
07/30/2007,1,261,323310
07/31/2007,1,273,266216
08/01/2007,1,342,333369
08/02/2007,1,270,243216
08/03/2007,1,339,349232
08/06/2007,1,336,306583
08/07/2007,1,235,265300
08/08/2007,1,258,251162
08/09/2007,1,284,217624
08/10/2007,1,280,363592
08/13/2007,1,227,277579
08/14/2007,1,273,348232
08/15/2007,1,339,477724
08/16/2007,1,280,692633
08/17/2007,1,303,673381
08/20/2007,1,260,211570
08/21/2007,1,226,215546
08/22/2007,1,222,276242
08/23/2007,1,146,109350
08/24/2007,1,132,159339
08/27/2007,1,219,77591
08/28/2007,1,179,194705
08/29/2007,1,195,134960
08/30/2007,1,216,119040
08/31/2007,1,221,109994
09/04/2007,1,175,138188
09/05/2007,1,165,124077
09/06/2007,1,136,71142
09/07/2007,1,196,139674
09/10/2007,1,172,139979
09/11/2007,1,203,106930
09/12/2007,1,172,116683
09/13/2007,1,172,128681
09/14/2007,1,178,97441
09/17/2007,1,125,111479
09/18/2007,1,332,307979
09/19/2007,1,302,274774
09/20/2007,1,220,1702901
09/21/2007,1,186,203875
09/24/2007,1,201,96284
09/25/2007,1,159,75495
09/26/2007,1,180,105940
09/27/2007,1,196,120744
09/28/2007,1,208,173595
10/01/2007,1,257,169734
10/02/2007,1,247,212502
10/03/2007,1,201,209027
10/04/2007,1,205,119972
10/05/2007,1,235,250388
10/08/2007,1,150,79817
10/09/2007,1,169,128276
10/10/2007,1,208,92992
10/11/2007,1,259,280309
10/12/2007,1,255,149686
10/15/2007,1,256,335663
10/16/2007,1,265,239564
10/17/2007,1,317,377862
10/18/2007,1,194,154628
10/19/2007,1,290,464493
10/22/2007,1,353,258148
10/23/2007,1,241,182682
10/24/2007,1,410,312670
10/25/2007,1,301,225638
10/26/2007,1,270,274630
10/29/2007,1,221,172614
10/30/2007,1,254,155237
10/31/2007,1,324,264066
11/01/2007,1,346,389954
11/02/2007,1,344,371339
11/05/2007,1,249,299082
11/06/2007,1,231,262298
11/07/2007,1,381,360320
11/08/2007,1,424,630119
11/09/2007,1,304,350396
11/12/2007,1,315,371641
11/13/2007,1,234,394422
11/14/2007,1,324,342587
11/15/2007,1,359,396929
11/16/2007,1,302,383556
11/19/2007,1,332,220690
11/20/2007,1,371,267279
11/21/2007,1,369,263323
11/23/2007,1,171,92567
11/26/2007,1,310,233990
11/27/2007,1,302,210764
11/28/2007,1,361,280531
11/29/2007,1,282,187074
11/30/2007,1,303,258887
12/03/2007,1,245,164375
12/04/2007,1,195,128701
12/05/2007,1,298,155962
12/06/2007,1,319,239707
12/07/2007,1,322,192841
12/10/2007,1,255,188080
12/11/2007,1,287,546234
12/12/2007,1,301,289969
12/13/2007,1,341,200438
12/14/2007,1,268,183297
12/17/2007,1,338,294428
12/18/2007,1,357,445043
12/19/2007,1,298,251764
12/20/2007,1,341,2698775
12/21/2007,1,287,272348
12/24/2007,1,177,130927
12/26/2007,1,167,107238
12/27/2007,1,226,158522
12/28/2007,1,231,151571
12/31/2007,1,217,142298
01/02/2008,1,287,240039
01/03/2008,1,203,170925
01/04/2008,1,263,388337
01/07/2008,1,286,304186
01/08/2008,1,293,397731
01/09/2008,1,328,487231
01/10/2008,1,387,464537
01/11/2008,1,238,354229
01/14/2008,1,267,274410
01/15/2008,1,316,486799
01/16/2008,1,294,648847
01/17/2008,1,503,892861
01/18/2008,1,445,721441
01/22/2008,1,463,669703
01/23/2008,1,443,559297
01/24/2008,1,429,474903
01/25/2008,1,415,367967
01/28/2008,1,355,304116
01/29/2008,1,252,292199
01/30/2008,1,450,462880
01/31/2008,1,343,612275
02/01/2008,1,293,454320
02/04/2008,1,264,252603
02/05/2008,1,305,434475
02/06/2008,1,300,375445
02/07/2008,1,349,473276
02/08/2008,1,249,351063
02/11/2008,1,316,305854
02/12/2008,1,269,429353
02/13/2008,1,263,340852
02/14/2008,1,275,467321
02/15/2008,1,228,347631
02/19/2008,1,266,202050
02/20/2008,1,272,241271
02/21/2008,1,218,187677
02/22/2008,1,317,277988
02/25/2008,1,257,318512
02/26/2008,1,235,308600
02/27/2008,1,272,243312
02/28/2008,1,227,140420
02/29/2008,1,311,386659
03/03/2008,1,264,223599
03/04/2008,1,352,375165
03/05/2008,1,291,256221
03/06/2008,1,293,357012
03/07/2008,1,333,486286
03/10/2008,1,336,356844
03/11/2008,1,300,560325
03/12/2008,1,223,380585
03/13/2008,1,313,650149
03/14/2008,1,460,884980
03/17/2008,1,352,706368
