PERMNO,date,TICKER,COMNAM,PERMCO,CUSIP,RETX
84788,20070629,AMZN,AMAZON COM INC,15473,2313510,-0.006968
84788,20070702,AMZN,AMAZON COM INC,15473,2313510,0.017541
84788,20070703,AMZN,AMAZON COM INC,15473,2313510,-0.002299
84788,20070705,AMZN,AMAZON COM INC,15473,2313510,-0.010367
84788,20070706,AMZN,AMAZON COM INC,15473,2313510,0.003492
84788,20070709,AMZN,AMAZON COM INC,15473,2313510,0.044946
84788,20070710,AMZN,AMAZON COM INC,15473,2313510,-0.024836
84788,20070711,AMZN,AMAZON COM INC,15473,2313510,0.006403
84788,20070712,AMZN,AMAZON COM INC,15473,2313510,0.029125
84788,20070713,AMZN,AMAZON COM INC,15473,2313510,0.031735
84788,20070716,AMZN,AMAZON COM INC,15473,2313510,-0.018775
84788,20070717,AMZN,AMAZON COM INC,15473,2313510,0.001357
84788,20070718,AMZN,AMAZON COM INC,15473,2313510,-0.006369
84788,20070719,AMZN,AMAZON COM INC,15473,2313510,0.000409
84788,20070720,AMZN,AMAZON COM INC,15473,2313510,-0.023449
84788,20070723,AMZN,AMAZON COM INC,15473,2313510,0.001536
84788,20070724,AMZN,AMAZON COM INC,15473,2313510,-0.034709
84788,20070725,AMZN,AMAZON COM INC,15473,2313510,0.244475
84788,20070726,AMZN,AMAZON COM INC,15473,2313510,-0.025179
84788,20070727,AMZN,AMAZON COM INC,15473,2313510,0.000356
84788,20070730,AMZN,AMAZON COM INC,15473,2313510,-0.015944
84788,20070731,AMZN,AMAZON COM INC,15473,2313510,-0.050302
84788,20070801,AMZN,AMAZON COM INC,15473,2313510,-0.015661
84788,20070802,AMZN,AMAZON COM INC,15473,2313510,0.031044
84788,20070803,AMZN,AMAZON COM INC,15473,2313510,-0.036509
84788,20070806,AMZN,AMAZON COM INC,15473,2313510,0.028647
84788,20070807,AMZN,AMAZON COM INC,15473,2313510,0.001772
84788,20070808,AMZN,AMAZON COM INC,15473,2313510,-0.017185
84788,20070809,AMZN,AMAZON COM INC,15473,2313510,-0.047184
84788,20070810,AMZN,AMAZON COM INC,15473,2313510,0.009042
84788,20070813,AMZN,AMAZON COM INC,15473,2313510,0.001202
84788,20070814,AMZN,AMAZON COM INC,15473,2313510,-0.018966
84788,20070815,AMZN,AMAZON COM INC,15473,2313510,-0.014568
84788,20070816,AMZN,AMAZON COM INC,15473,2313510,0.005665
84788,20070817,AMZN,AMAZON COM INC,15473,2313510,0.030636
84788,20070820,AMZN,AMAZON COM INC,15473,2313510,-0.004266
84788,20070821,AMZN,AMAZON COM INC,15473,2313510,0.037349
84788,20070822,AMZN,AMAZON COM INC,15473,2313510,0.013034
84788,20070823,AMZN,AMAZON COM INC,15473,2313510,-0.015287
84788,20070824,AMZN,AMAZON COM INC,15473,2313510,0.025226
84788,20070827,AMZN,AMAZON COM INC,15473,2313510,-0.007571
84788,20070828,AMZN,AMAZON COM INC,15473,2313510,-0.030896
84788,20070829,AMZN,AMAZON COM INC,15473,2313510,0.037129
84788,20070830,AMZN,AMAZON COM INC,15473,2313510,-0.004681
84788,20070831,AMZN,AMAZON COM INC,15473,2313510,0.015633
84788,20070904,AMZN,AMAZON COM INC,15473,2313510,0.034914
84788,20070905,AMZN,AMAZON COM INC,15473,2313510,0.012697
84788,20070906,AMZN,AMAZON COM INC,15473,2313510,0.029373
84788,20070907,AMZN,AMAZON COM INC,15473,2313510,-0.019603
84788,20070910,AMZN,AMAZON COM INC,15473,2313510,-0.013961
84788,20070911,AMZN,AMAZON COM INC,15473,2313510,0.035277
84788,20070912,AMZN,AMAZON COM INC,15473,2313510,0.011822
84788,20070913,AMZN,AMAZON COM INC,15473,2313510,-0.000458
84788,20070914,AMZN,AMAZON COM INC,15473,2313510,0.005845
84788,20070917,AMZN,AMAZON COM INC,15473,2313510,-0.009798
84788,20070918,AMZN,AMAZON COM INC,15473,2313510,0.021171
84788,20070919,AMZN,AMAZON COM INC,15473,2313510,0.002817
84788,20070920,AMZN,AMAZON COM INC,15473,2313510,0.007303
84788,20070921,AMZN,AMAZON COM INC,15473,2313510,0.018405
84788,20070924,AMZN,AMAZON COM INC,15473,2313510,0.014129
84788,20070925,AMZN,AMAZON COM INC,15473,2313510,0.009611
84788,20070926,AMZN,AMAZON COM INC,15473,2313510,-0.000534
84788,20070927,AMZN,AMAZON COM INC,15473,2313510,-0.000535
84788,20070928,AMZN,AMAZON COM INC,15473,2313510,-0.002463
84788,20071001,AMZN,AMAZON COM INC,15473,2313510,0.002791
84788,20071002,AMZN,AMAZON COM INC,15473,2313510,-0.011241
84788,20071003,AMZN,AMAZON COM INC,15473,2313510,0.001029
84788,20071004,AMZN,AMAZON COM INC,15473,2313510,-0.002109
84788,20071005,AMZN,AMAZON COM INC,15473,2313510,0.012682
84788,20071008,AMZN,AMAZON COM INC,15473,2313510,0.025902
84788,20071009,AMZN,AMAZON COM INC,15473,2313510,-0.005491
84788,20071010,AMZN,AMAZON COM INC,15473,2313510,-0.006963
84788,20071011,AMZN,AMAZON COM INC,15473,2313510,-0.056201
